Bergey BW-3  (smoothed)
   0.7699009      0.1880656E-01
   0.7775082      0.1803250E-01
   0.7851247      0.1724585E-01
   0.7927517      0.1644715E-01
   0.8003905      0.1563702E-01
   0.8080422      0.1481634E-01
   0.8157067      0.1398613E-01
   0.8233829      0.1314754E-01
   0.8310690      0.1230176E-01
   0.8387627      0.1144986E-01
   0.8464622      0.1059284E-01
   0.8541659      0.9731679E-02
   0.8618724      0.8867180E-02
   0.8695755      0.8000117E-02
   0.8772605      0.7132102E-02
   0.8849046      0.6265676E-02
   0.8924810      0.5402921E-02
   0.8999711      0.4543770E-02
   0.9073687      0.3686830E-02
   0.9146744      0.2830527E-02
   0.9218482      0.1980225E-02
   0.9287755      0.1150981E-02
   0.9353114      0.3589823E-03
   0.9413654     -0.4091980E-03
   0.9469463     -0.1179683E-02
   0.9521114     -0.1972448E-02
   0.9569204     -0.2796990E-02
   0.9614015     -0.3649432E-02
   0.9655626     -0.4521021E-02
   0.9694100     -0.5397537E-02
   0.9729696     -0.6222398E-02
   0.9762786     -0.6933982E-02
   0.9793713     -0.7498307E-02
   0.9822765     -0.7898299E-02
   0.9850122     -0.8107639E-02
   0.9876106     -0.8097497E-02
   0.9901191     -0.7836527E-02
   0.9925942     -0.7277675E-02
   0.9950852     -0.6374205E-02
   0.9976456     -0.5030689E-02
    1.000007     -0.3308484E-02
