SPICA  11.73% smoothed
   0.4677438     -0.1005642E-01
   0.4753623     -0.9912474E-02
   0.4829808     -0.9768531E-02
   0.4905993     -0.9624587E-02
   0.4982178     -0.9480642E-02
   0.5058363     -0.9336698E-02
   0.5134548     -0.9192754E-02
   0.5210733     -0.9048811E-02
   0.5286918     -0.8904867E-02
   0.5363104     -0.8760923E-02
   0.5439289     -0.8616980E-02
   0.5515474     -0.8473036E-02
   0.5591659     -0.8329092E-02
   0.5667844     -0.8185149E-02
   0.5744029     -0.8041205E-02
   0.5820214     -0.7897262E-02
   0.5896399     -0.7753318E-02
   0.5972584     -0.7609375E-02
   0.6048769     -0.7465431E-02
   0.6124954     -0.7321488E-02
   0.6201139     -0.7177545E-02
   0.6277323     -0.7033602E-02
   0.6353508     -0.6889660E-02
   0.6429693     -0.6745717E-02
   0.6505877     -0.6601774E-02
   0.6582062     -0.6457831E-02
   0.6658246     -0.6313889E-02
   0.6734429     -0.6169950E-02
   0.6810612     -0.6026011E-02
   0.6886794     -0.5882072E-02
   0.6962977     -0.5738132E-02
   0.7039162     -0.5594189E-02
   0.7115344     -0.5450251E-02
   0.7191524     -0.5306318E-02
   0.7267700     -0.5162390E-02
   0.7343876     -0.5018465E-02
   0.7420053     -0.4874536E-02
   0.7496235     -0.4730598E-02
   0.7572414     -0.4586666E-02
   0.7648581     -0.4442758E-02
   0.7724735     -0.4298872E-02
   0.7800880     -0.4155004E-02
   0.7877022     -0.4011141E-02
   0.7953172     -0.3867264E-02
   0.8029342     -0.3723349E-02
   0.8105506     -0.3579444E-02
   0.8181632     -0.3435614E-02
   0.8257727     -0.3291841E-02
   0.8333814     -0.3148081E-02
   0.8409932     -0.3004265E-02
   0.8486085     -0.2860381E-02
   0.8562112     -0.2716736E-02
   0.8637939     -0.2573470E-02
   0.8713545     -0.2430621E-02
   0.8788947     -0.2288156E-02
   0.8864201     -0.2145972E-02
   0.8939395     -0.2003900E-02
   0.9014659     -0.1861698E-02
   0.9090131     -0.1719101E-02
   0.9165817     -0.1576101E-02
   0.9241474     -0.1433154E-02
   0.9316618     -0.1291177E-02
   0.9390567     -0.1151459E-02
   0.9462540     -0.1015474E-02
   0.9531782     -0.8846483E-03
   0.9597713     -0.7600791E-03
   0.9660040     -0.6423189E-03
   0.9718723     -0.5314427E-03
   0.9773888     -0.4272141E-03
   0.9825752     -0.3292238E-03
   0.9874570     -0.2369867E-03
   0.9920608     -0.1500021E-03
   0.9964122     -0.6778746E-04
    1.000000     -0.3659176E-18
