MH 112  Airfoil
   0.6479223      0.1432381E-01
   0.6571999      0.1481248E-01
   0.6664508      0.1527094E-01
   0.6756748      0.1569859E-01
   0.6848714      0.1609483E-01
   0.6940402      0.1645907E-01
   0.7031808      0.1679073E-01
   0.7122926      0.1708925E-01
   0.7213749      0.1735410E-01
   0.7304271      0.1758472E-01
   0.7394478      0.1778053E-01
   0.7484355      0.1794098E-01
   0.7573879      0.1806556E-01
   0.7663027      0.1815379E-01
   0.7751769      0.1820526E-01
   0.7840073      0.1821937E-01
   0.7927904      0.1819545E-01
   0.8015220      0.1813293E-01
   0.8101983      0.1803131E-01
   0.8188147      0.1789026E-01
   0.8273668      0.1770950E-01
   0.8358491      0.1748874E-01
   0.8442548      0.1722782E-01
   0.8525756      0.1692685E-01
   0.8608023      0.1658621E-01
   0.8689249      0.1620653E-01
   0.8769330      0.1578799E-01
   0.8848143      0.1533044E-01
   0.8925557      0.1483426E-01
   0.9001439      0.1430040E-01
   0.9075662      0.1373027E-01
   0.9148109      0.1312437E-01
   0.9218690      0.1248177E-01
   0.9287343      0.1180207E-01
   0.9354037      0.1108539E-01
   0.9418764      0.1033228E-01
   0.9481528      0.9543051E-02
   0.9542336      0.8717970E-02
   0.9601198      0.7857889E-02
   0.9658129      0.6964159E-02
   0.9713154      0.6038134E-02
   0.9766306      0.5080252E-02
   0.9817631      0.4090976E-02
   0.9867191      0.3071009E-02
   0.9915048      0.2022301E-02
   0.9961251      0.9484272E-03
    1.000000      0.2248872E-18
