CAP 21   (TraCFoil)
   0.7992850     -0.1771405E-01
   0.8021121     -0.1746072E-01
   0.8049572     -0.1720572E-01
   0.8078214     -0.1694896E-01
   0.8107058     -0.1669033E-01
   0.8136117     -0.1642971E-01
   0.8165404     -0.1616698E-01
   0.8194933     -0.1590203E-01
   0.8224721     -0.1563469E-01
   0.8254782     -0.1536484E-01
   0.8285135     -0.1509229E-01
   0.8315800     -0.1481689E-01
   0.8346797     -0.1453844E-01
   0.8378149     -0.1425673E-01
   0.8409881     -0.1397154E-01
   0.8442021     -0.1368261E-01
   0.8474598     -0.1338968E-01
   0.8507646     -0.1309244E-01
   0.8541202     -0.1279055E-01
   0.8575307     -0.1248364E-01
   0.8610009     -0.1217128E-01
   0.8645359     -0.1185300E-01
   0.8681418     -0.1152824E-01
   0.8718254     -0.1119640E-01
   0.8755946     -0.1085674E-01
   0.8794588     -0.1050842E-01
   0.8834288     -0.1015046E-01
   0.8875176     -0.9781675E-02
   0.8917409     -0.9400632E-02
   0.8961181     -0.9005582E-02
   0.9006731     -0.8594334E-02
   0.9054369     -0.8164088E-02
   0.9104499     -0.7711163E-02
   0.9157671     -0.7230560E-02
   0.9214667     -0.6715180E-02
   0.9276662     -0.6154344E-02
   0.9345577     -0.5530591E-02
   0.9424979     -0.4811519E-02
   0.9523161     -0.3921764E-02
   0.9674070     -0.2552884E-02
   0.9847079     -0.9767062E-03
   0.9944662     -0.9738302E-04
   0.9994503     -0.5038996E-03
