FX 74-Cl5-140 MOD  (smoothed)
   0.8073720      0.4478779E-01
   0.8142983      0.4418140E-01
   0.8211858      0.4353325E-01
   0.8280344      0.4284149E-01
   0.8348435      0.4210417E-01
   0.8416111      0.4131949E-01
   0.8483335      0.4048597E-01
   0.8550055      0.3960252E-01
   0.8616209      0.3866787E-01
   0.8681746      0.3767950E-01
   0.8746650      0.3663455E-01
   0.8810930      0.3552985E-01
   0.8874624      0.3436210E-01
   0.8937789      0.3312878E-01
   0.9000498      0.3182725E-01
   0.9062844      0.3045414E-01
   0.9124933      0.2900564E-01
   0.9186865      0.2748125E-01
   0.9248674      0.2588352E-01
   0.9310315      0.2421706E-01
   0.9371653      0.2248802E-01
   0.9432358      0.2070480E-01
   0.9491866      0.1888396E-01
   0.9549475      0.1704744E-01
   0.9604690      0.1520026E-01
   0.9657570      0.1332755E-01
   0.9708554      0.1140603E-01
   0.9758003      0.9436111E-02
   0.9805664      0.7451195E-02
   0.9850905      0.5515154E-02
   0.9893264      0.3725428E-02
   0.9932543      0.2152655E-02
   0.9969234      0.8472947E-03
    1.000000     -0.5999999E-04
