AG47ct  -02f rot.
   0.3756542     -0.9782689E-02
   0.3819721     -0.9658094E-02
   0.3882899     -0.9533224E-02
   0.3946082     -0.9407849E-02
   0.4009273     -0.9282397E-02
   0.4072467     -0.9157179E-02
   0.4135659     -0.9031911E-02
   0.4198849     -0.8906277E-02
   0.4262042     -0.8780480E-02
   0.4325241     -0.8654896E-02
   0.4388448     -0.8529590E-02
   0.4451658     -0.8404430E-02
   0.4514863     -0.8279435E-02
   0.4578058     -0.8154783E-02
   0.4641244     -0.8030434E-02
   0.4704423     -0.7905898E-02
   0.4767592     -0.7780864E-02
   0.4830753     -0.7655954E-02
   0.4893916     -0.7531883E-02
   0.4957095     -0.7408430E-02
   0.5020294     -0.7284974E-02
   0.5083502     -0.7161275E-02
   0.5146706     -0.7037408E-02
   0.5209891     -0.6913619E-02
   0.5273055     -0.6790373E-02
   0.5336211     -0.6667776E-02
   0.5399343     -0.6545044E-02
   0.5462392     -0.6422127E-02
   0.5525347     -0.6302266E-02
   0.5588277     -0.6182757E-02
   0.5651216     -0.6060396E-02
   0.5714180     -0.5939538E-02
   0.5777189     -0.5821087E-02
   0.5840243     -0.5702087E-02
   0.5903319     -0.5581731E-02
   0.5966408     -0.5461969E-02
   0.6029503     -0.5343803E-02
   0.6092606     -0.5224721E-02
   0.6155744     -0.5106145E-02
   0.6218890     -0.4988813E-02
   0.6282049     -0.4872611E-02
   0.6345233     -0.4757126E-02
   0.6408421     -0.4642006E-02
   0.6471584     -0.4527612E-02
   0.6534731     -0.4414523E-02
   0.6597895     -0.4302489E-02
   0.6661091     -0.4190714E-02
   0.6724306     -0.4078835E-02
   0.6787494     -0.3967019E-02
   0.6850592     -0.3856175E-02
   0.6913587     -0.3748331E-02
   0.6976533     -0.3643081E-02
   0.7039429     -0.3538998E-02
   0.7102348     -0.3434684E-02
   0.7165305     -0.3328266E-02
   0.7228316     -0.3223840E-02
   0.7291412     -0.3121770E-02
   0.7354563     -0.3020267E-02
   0.7417698     -0.2919099E-02
   0.7480802     -0.2819507E-02
   0.7543922     -0.2721938E-02
   0.7607083     -0.2625552E-02
   0.7670249     -0.2529840E-02
   0.7733380     -0.2435414E-02
   0.7796493     -0.2342882E-02
   0.7859620     -0.2252059E-02
   0.7922760     -0.2162584E-02
   0.7985894     -0.2074515E-02
   0.8049015     -0.1988117E-02
   0.8112132     -0.1903483E-02
   0.8175256     -0.1820548E-02
   0.8238386     -0.1739217E-02
   0.8301522     -0.1659344E-02
   0.8364661     -0.1580848E-02
   0.8427791     -0.1503863E-02
   0.8490892     -0.1428640E-02
   0.8553958     -0.1355771E-02
   0.8617030     -0.1285802E-02
   0.8680161     -0.1217996E-02
   0.8743346     -0.1150935E-02
   0.8806524     -0.1084312E-02
   0.8869656     -0.1018918E-02
   0.8932747     -0.9554535E-03
   0.8995815     -0.8944386E-03
   0.9058875     -0.8362406E-03
   0.9121941     -0.7807946E-03
   0.9185024     -0.7279185E-03
   0.9248128     -0.6772229E-03
   0.9311256     -0.6282540E-03
   0.9374400     -0.5806396E-03
   0.9437538     -0.5340739E-03
   0.9500630     -0.4884752E-03
   0.9563627     -0.4440114E-03
   0.9626433     -0.4028413E-03
   0.9688724     -0.3706060E-03
   0.9749947     -0.3510536E-03
   0.9809863     -0.3414384E-03
   0.9868628     -0.3382260E-03
   0.9923346     -0.3394107E-03
   0.9968623     -0.3428868E-03
    1.000000     -0.3464997E-03
