S1221  w/ 4 deg flap
   0.6245790      0.3259666E-01
   0.6322141      0.3308517E-01
   0.6399001      0.3354873E-01
   0.6476527      0.3399540E-01
   0.6554709      0.3443270E-01
   0.6633390      0.3486331E-01
   0.6712383      0.3528543E-01
   0.6791511      0.3569721E-01
   0.6870609      0.3609695E-01
   0.6949535      0.3648314E-01
   0.7028164      0.3685448E-01
   0.7106397      0.3720987E-01
   0.7184153      0.3754840E-01
   0.7261376      0.3786932E-01
   0.7338025      0.3817129E-01
   0.7414035      0.3844935E-01
   0.7489276      0.3869758E-01
   0.7563561      0.3891044E-01
   0.7636660      0.3908308E-01
   0.7708322      0.3921158E-01
   0.7778309      0.3929061E-01
   0.7846654      0.3930184E-01
   0.7913875      0.3922558E-01
   0.7980623      0.3905993E-01
   0.8047147      0.3881244E-01
   0.8113378      0.3848362E-01
   0.8179502      0.3806390E-01
   0.8246094      0.3754723E-01
   0.8313634      0.3694594E-01
   0.8382111      0.3627683E-01
   0.8451209      0.3554671E-01
   0.8520633      0.3475893E-01
   0.8590176      0.3391678E-01
   0.8659725      0.3302293E-01
   0.8729266      0.3207900E-01
   0.8798890      0.3108502E-01
   0.8868732      0.3003732E-01
   0.8938850      0.2893066E-01
   0.9009185      0.2776137E-01
   0.9079555      0.2652802E-01
   0.9149658      0.2523204E-01
   0.9219080      0.2387821E-01
   0.9287335      0.2247470E-01
   0.9353907      0.2103257E-01
   0.9418315      0.1956476E-01
   0.9480160      0.1808476E-01
   0.9539155      0.1660388E-01
   0.9595176      0.1511530E-01
   0.9648367      0.1360026E-01
   0.9699054      0.1203946E-01
   0.9747617      0.1041867E-01
   0.9794374      0.8733953E-02
   0.9839550      0.6983287E-02
   0.9883308      0.5174316E-02
   0.9925641      0.3340913E-02
   0.9966284      0.1527138E-02
   0.9999900     -0.2944086E-07
