SIKORSKY SSC-A09  AIRFOIL
   0.3069016     -0.3376014E-01
   0.3135698     -0.3391690E-01
   0.3202392     -0.3406359E-01
   0.3269100     -0.3420034E-01
   0.3335821     -0.3432728E-01
   0.3402552     -0.3444453E-01
   0.3469287     -0.3455207E-01
   0.3536018     -0.3464981E-01
   0.3602742     -0.3473764E-01
   0.3669455     -0.3481547E-01
   0.3736155     -0.3488320E-01
   0.3802842     -0.3494072E-01
   0.3869517     -0.3498795E-01
   0.3936179     -0.3502474E-01
   0.4002829     -0.3505097E-01
   0.4069467     -0.3506652E-01
   0.4136092     -0.3507127E-01
   0.4202704     -0.3506507E-01
   0.4269302     -0.3504783E-01
   0.4335885     -0.3501940E-01
   0.4402455     -0.3497967E-01
   0.4469014     -0.3492851E-01
   0.4535557     -0.3486581E-01
   0.4602074     -0.3479144E-01
   0.4668555     -0.3470512E-01
   0.4734998     -0.3460642E-01
   0.4801418     -0.3449488E-01
   0.4867836     -0.3437038E-01
   0.4934263     -0.3423308E-01
   0.5000697     -0.3408322E-01
   0.5067124     -0.3392082E-01
   0.5133538     -0.3374572E-01
   0.5199945     -0.3355775E-01
   0.5266360     -0.3335693E-01
   0.5332797     -0.3314347E-01
   0.5399262     -0.3291763E-01
   0.5465759     -0.3267971E-01
   0.5532288     -0.3243011E-01
   0.5598848     -0.3216920E-01
   0.5665438     -0.3189736E-01
   0.5732055     -0.3161491E-01
   0.5798699     -0.3132218E-01
   0.5865367     -0.3101948E-01
   0.5932054     -0.3070707E-01
   0.5998751     -0.3038525E-01
   0.6065447     -0.3005416E-01
   0.6132136     -0.2971376E-01
   0.6198818     -0.2936399E-01
   0.6265495     -0.2900483E-01
   0.6332167     -0.2863628E-01
   0.6398830     -0.2825840E-01
   0.6465474     -0.2787114E-01
   0.6532099     -0.2747430E-01
   0.6598708     -0.2706769E-01
   0.6665310     -0.2665119E-01
   0.6731912     -0.2622484E-01
   0.6798512     -0.2578869E-01
   0.6865107     -0.2534279E-01
   0.6931700     -0.2488710E-01
   0.6998303     -0.2442153E-01
   0.7064932     -0.2394623E-01
   0.7131599     -0.2346158E-01
   0.7198309     -0.2296799E-01
   0.7265063     -0.2246597E-01
   0.7331864     -0.2195599E-01
   0.7398721     -0.2143852E-01
   0.7465642     -0.2091416E-01
   0.7532632     -0.2038364E-01
   0.7599688     -0.1984775E-01
   0.7666805     -0.1930722E-01
   0.7733978     -0.1876267E-01
   0.7801211     -0.1821469E-01
   0.7868505     -0.1766389E-01
   0.7935856     -0.1711101E-01
   0.8003249     -0.1655681E-01
   0.8070664     -0.1600174E-01
   0.8138087     -0.1544599E-01
   0.8205512     -0.1488969E-01
   0.8272934     -0.1433286E-01
   0.8340345     -0.1377555E-01
   0.8407730     -0.1321780E-01
   0.8475070     -0.1265932E-01
   0.8542347     -0.1209964E-01
   0.8609550     -0.1153823E-01
   0.8676670     -0.1097426E-01
   0.8743707     -0.1040677E-01
   0.8810674     -0.9834770E-02
   0.8877590     -0.9257703E-02
   0.8944483     -0.8675104E-02
   0.9011392     -0.8086584E-02
   0.9078335     -0.7492788E-02
   0.9145278     -0.6895163E-02
   0.9212128     -0.6296049E-02
   0.9278744     -0.5700234E-02
   0.9344943     -0.5113457E-02
   0.9410512     -0.4542059E-02
   0.9475222     -0.3995121E-02
   0.9538835     -0.3481938E-02
   0.9601119     -0.3011586E-02
   0.9661773     -0.2599054E-02
   0.9720366     -0.2259759E-02
   0.9776436     -0.2004108E-02
   0.9829623     -0.1832632E-02
   0.9879807     -0.1736246E-02
   0.9926490     -0.1684949E-02
   0.9968277     -0.1643445E-02
   0.9999990     -0.1605496E-02
